ranking_id,top_name,level_id,position,requirement
459,PCR,2274,459,100
460,PCR,2461,460,100
461,PCR,3122,461,100
462,PCR,1885,462,100
463,PCR,3373,463,100
464,PCR,2239,464,100
465,PCR,1837,465,100
466,PCR,3380,466,100
467,PCR,3154,467,100
468,PCR,3054,468,100
469,PCR,2197,469,100
470,PCR,2842,470,100
471,PCR,2045,471,100
472,PCR,2189,472,100
473,PCR,2137,473,100
474,PCR,3053,474,100
475,PCR,3224,475,100
476,PCR,2124,476,100
477,PCR,2555,477,100
478,PCR,2982,478,100
479,PCR,1729,479,100
480,PCR,2584,480,100
481,PCR,1890,481,100
482,PCR,1863,482,100
483,PCR,2349,483,100
484,PCR,3192,484,100
485,PCR,2284,485,100
486,PCR,3269,486,100
487,PCR,3191,487,100
488,PCR,2693,488,100
489,PCR,1779,489,100
490,PCR,3071,490,100
491,PCR,3268,491,100
492,PCR,2268,492,100
493,PCR,1657,493,100
494,PCR,1939,494,100
495,PCR,3052,495,100
496,PCR,1705,496,100
497,PCR,2511,497,100
498,PCR,1802,498,100
499,PCR,1730,499,100
500,PCR,2062,500,100
501,PCR,1798,501,100
502,PCR,2790,502,100
503,PCR,1722,503,100
504,PCR,2160,504,100
505,PCR,1806,505,100
506,PCR,1626,506,100
507,PCR,1635,507,100
508,PCR,2219,508,100
509,PCR,1869,509,100
510,PCR,1716,510,100
511,PCR,2454,511,100
512,PCR,2596,512,100
513,PCR,1699,513,100
514,PCR,1608,514,100
515,PCR,3267,515,100
516,PCR,2767,516,100
517,PCR,1745,517,100
518,PCR,1982,518,100
519,PCR,1564,519,100
520,PCR,1747,520,100
521,PCR,2057,521,100
522,PCR,2623,522,100
523,PCR,1879,523,100
524,PCR,3070,524,100
525,PCR,2959,525,100
526,PCR,1989,526,100
527,PCR,1570,527,100
528,PCR,2127,528,100
529,PCR,1839,529,100
530,PCR,3394,530,100
531,PCR,2228,531,100
532,PCR,2483,532,100
533,PCR,3266,533,100
534,PCR,3190,534,100
535,PCR,3104,535,100
536,PCR,2755,536,100
537,PCR,2379,537,100
538,PCR,2111,538,100
539,PCR,1647,539,100
540,PCR,2232,540,100
541,PCR,2988,541,100
542,PCR,2910,542,100
543,PCR,1967,543,100
544,PCR,1936,544,100
545,PCR,3069,545,100
546,PCR,2906,546,100
547,PCR,2472,547,100
548,PCR,2185,548,100
549,PCR,1561,549,100
550,PCR,1684,550,100
551,PCR,2059,551,100
552,PCR,1697,552,100
553,PCR,2887,553,100
554,PCR,2161,554,100
555,PCR,1895,555,100
556,PCR,2436,556,100
557,PCR,2481,557,100
558,PCR,2735,558,100
559,PCR,2958,559,100
